"AVHI",11.79,"3/21/2016","4:00pm",-0.21,12.01,12.07,11.74,17879,12.00
"SHLM",25.86,"3/21/2016","4:00pm",+0.33,25.72,26.05,25.10,271907,25.53
"AHC",5.17,"3/21/2016","4:02pm",-0.16,5.22,5.30,5.10,36761,5.33
"ATEN",6.11,"3/21/2016","4:00pm",-0.02,6.09,6.18,6.07,197184,6.13
"AAC",20.25,"3/21/2016","4:02pm",+0.37,19.92,20.32,19.09,307640,19.88
"AAON",27.11,"3/21/2016","4:00pm",-0.05,27.00,27.51,26.61,221340,27.16
"AIR",22.21,"3/21/2016","4:02pm",-0.42,22.52,22.72,22.04,264438,22.63
"AAN",24.62,"3/21/2016","4:00pm",+0.30,24.29,24.80,24.09,441234,24.32
"ABAX",41.73,"3/21/2016","4:00pm",-0.27,41.96,42.03,41.66,107995,42.00
"ABB",19.24,"3/21/2016","4:02pm",-0.21,19.21,19.36,19.19,2730379,19.45
"ABT",40.76,"3/21/2016","4:00pm",-0.03,40.58,40.77,40.44,4054783,40.79
"ABBV",56.01,"3/21/2016","4:00pm",-0.56,56.52,56.78,55.73,6632920,56.57
"ABY",17.735,"3/21/2016","4:00pm",+0.145,17.620,17.990,17.436,234709,17.590
"ABGB",1.31,"3/21/2016","3:58pm",-0.02,1.39,1.39,1.24,54409,1.33
"ABEO",2.94,"3/21/2016","4:00pm",+0.04,2.88,2.98,2.83,45363,2.90
"ABEOW",0.67,"3/21/2016","3:49pm",-0.23,0.60,0.68,0.61,2171,0.90
"ANF",31.06,"3/21/2016","4:00pm",-0.64,31.70,31.93,31.05,1772837,31.70
"FAX",4.98,"3/21/2016","4:02pm",+0.00,4.98,4.98,4.94,812161,4.98
"IAF",5.49,"3/21/2016","4:00pm",-0.02,5.48,5.54,5.48,27798,5.51
"CH",5.99,"3/21/2016","4:02pm",+0.01,6.01,6.06,5.89,48188,5.98
"ABE",11.50,"3/21/2016","4:00pm",+0.00,11.40,11.57,11.40,6593,11.50
"FCO",8.42,"3/21/2016","4:00pm",+0.02,8.41,8.49,8.40,26935,8.40
"GCH",8.37,"3/21/2016","4:02pm",+0.02,8.35,8.96,8.34,13656,8.35
"IF",5.9937,"3/21/2016","4:00pm",+0.0037,6.0900,6.0900,5.9900,5468,5.9900
"ISL",16.9193,"3/21/2016","4:00pm",+0.1193,16.8256,16.9287,16.8000,2944,16.8000
"JEQ",7.3014,"3/21/2016","4:00pm",+0.0714,7.2500,7.3014,7.2400,3579,7.2300
"SGF",9.06,"3/21/2016","4:00pm",-0.02,9.05,9.10,8.93,16828,9.08
"ABIL",6.225,"3/21/2016","3:59pm",-0.155,6.350,6.350,5.900,11592,6.380
"ABILW",0.6899,"3/17/2016","3:25pm",+0.0000,0.5400,N/A,N/A,50,0.6899
"ABMD",88.88,"3/21/2016","4:00pm",+1.35,87.11,89.39,87.11,340536,87.53
"ABM",31.92,"3/21/2016","4:02pm",+0.09,31.79,31.99,31.59,320858,31.83
"AXAS",1.13,"3/21/2016","4:00pm",-0.02,1.13,1.18,1.11,613231,1.15
"ACTG",4.13,"3/21/2016","4:00pm",+0.30,3.84,4.21,3.75,1679441,3.83
"ACHC",52.80,"3/21/2016","4:00pm",+0.43,52.40,53.13,51.70,826068,52.37
"ACAD",21.53,"3/21/2016","4:00pm",+1.74,19.73,21.80,19.68,2925808,19.79
"AKR",34.02,"3/21/2016","4:02pm",-0.51,34.34,34.55,33.97,333228,34.53
"ACST",1.57,"3/21/2016","3:52pm",-0.06,N/A,1.57,1.51,1810,1.63
"AXDX",13.01,"3/21/2016","4:00pm",-0.16,13.12,13.41,13.00,227908,13.17
"XLRN",26.39,"3/21/2016","4:00pm",+1.08,25.21,27.16,24.82,341169,25.31
"ACN",108.16,"3/21/2016","4:01pm",+0.39,107.33,108.85,107.14,3472200,107.77
"ANCX",18.96,"3/21/2016","4:00pm",-0.26,19.10,19.52,18.87,10287,19.22
"ACCO",7.99,"3/21/2016","4:02pm",-0.16,8.13,8.21,7.95,417071,8.15
"ARAY",5.43,"3/21/2016","4:00pm",+0.05,5.38,5.58,5.34,577045,5.38
"ACW",1.77,"3/21/2016","4:02pm",+0.01,1.75,1.80,1.74,60725,1.76
"VXDN",8.18,"3/21/2016","2:49pm",+0.83,8.05,8.19,7.41,2212,7.35
"VXUP",7.7254,"3/17/2016","3:41pm",+0.0000,7.2000,N/A,N/A,72,7.7254
"ACRX",3.26,"3/21/2016","4:00pm",+0.18,3.10,3.31,3.10,410572,3.08
"ACET",21.58,"3/21/2016","4:00pm",-0.20,21.81,22.18,21.51,105996,21.78
"AKAO",3.37,"3/21/2016","4:00pm",+0.13,3.24,3.47,3.24,51373,3.24
"ACHN",7.23,"3/21/2016","4:00pm",-0.03,7.23,7.43,7.11,1218138,7.26
"ACIW",19.98,"3/21/2016","4:00pm",-0.04,19.92,20.20,19.83,525616,20.02
"ACRS",15.80,"3/21/2016","4:00pm",+0.09,15.42,16.01,15.42,28870,15.71
"ACU",15.60,"3/21/2016","4:03pm",-0.55,15.86,16.01,15.60,1583,16.15
"ACNB",22.42,"3/21/2016","3:58pm",+0.07,22.35,22.73,22.35,4239,22.35
"ACOR",25.93,"3/21/2016","4:00pm",-0.50,26.10,27.27,25.81,940044,26.43
"ATV",4.73,"3/21/2016","4:02pm",+0.12,4.51,4.86,4.42,14990,4.61
"AIII",1.55,"3/21/2016","4:00pm",+0.00,1.52,1.55,1.52,2798,1.55
"ATNM",2.23,"3/21/2016","4:02pm",+0.19,2.08,2.36,2.07,916901,2.04
"ACTS",1.43,"3/21/2016","3:58pm",+0.01,1.42,1.53,1.42,22692,1.42
"ACPW",0.96,"3/21/2016","4:00pm",+0.01,0.95,1.00,0.95,53475,0.95
"ATVI",32.04,"3/21/2016","4:00pm",-0.16,32.23,32.32,31.81,3060517,32.20
"ACTA",9.29,"3/21/2016","4:00pm",-0.11,9.40,9.54,9.27,127269,9.40
"ATU",24.42,"3/21/2016","4:02pm",+0.45,23.98,24.52,23.89,501869,23.97
"AYI",221.04,"3/21/2016","4:02pm",+0.80,220.24,221.09,218.62,459438,220.24
